CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_ID
Land of Toys Inc.,10107,S10_1678,2003-02-24,30,95.7,2871.0,2,Shipped,Small,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
Reims Collectables,10121,S10_1678,2003-05-07,34,81.35,2765.9,5,Shipped,Small,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Lyon Souveniers,10134,S10_1678,2003-07-01,41,94.74,3884.34,2,Shipped,Medium,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Toys4GrownUps.com,10145,S10_1678,2003-08-25,45,83.26,3746.7,6,Shipped,Medium,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,1
Corporate Gift Ideas Co.,10159,S10_1678,2003-10-10,49,100.0,5205.27,14,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Technics Stores Inc.,10168,S10_1678,2003-10-28,36,96.66,3479.76,1,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
Daedalus Designs Imports,10180,S10_1678,2003-11-11,29,86.13,2497.77,9,Shipped,Small,7,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,1
Herkku Gifts,10188,S10_1678,2003-11-18,48,100.0,5512.32,1,Shipped,Medium,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Mini Wheels Co.,10201,S10_1678,2003-12-01,22,98.57,2168.54,2,Shipped,Small,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
Auto Canal Petit,10211,S10_1678,2004-01-15,41,100.0,4708.44,14,Shipped,Medium,10,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,1
"Australian Collectors, Co.",10223,S10_1678,2004-02-20,37,100.0,3965.66,1,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Vitachrome Inc.,10237,S10_1678,2004-04-05,23,100.0,2333.12,7,Shipped,Small,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Tekni Collectables Inc.,10251,S10_1678,2004-05-18,28,100.0,3188.64,2,Shipped,Medium,13,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,1
Gift Depot Inc.,10263,S10_1678,2004-06-28,34,100.0,3676.76,2,Shipped,Medium,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
La Rochelle Gifts,10275,S10_1678,2004-07-23,45,92.83,4177.35,1,Shipped,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
Marta's Replicas Co.,10285,S10_1678,2004-08-27,36,100.0,4099.68,6,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
"Toys of Finland, Co.",10299,S10_1678,2004-09-30,23,100.0,2597.39,9,Shipped,Small,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
