CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,STATUS_ID,TABLE_NAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,PRODUCTLINE,MSRP,YEAR_ID,MONTH_ID,QTR_ID
Land of Toys Inc.,10107.0,S10_1678,2003-02-24,30.0,95.7,2871.0,2.0,Shipped,Small,1.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Reims Collectables,10121.0,S10_1678,2003-05-07,34.0,81.35,2765.9,5.0,Shipped,Small,2.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Lyon Souveniers,10134.0,S10_1678,2003-07-01,41.0,94.74,3884.34,2.0,Shipped,Medium,3.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Toys4GrownUps.com,10145.0,S10_1678,2003-08-25,45.0,83.26,3746.7,6.0,Shipped,Medium,4.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10159.0,S10_1678,2003-10-10,49.0,100.0,5205.27,14.0,Shipped,Medium,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Technics Stores Inc.,10168.0,S10_1678,2003-10-28,36.0,96.66,3479.76,1.0,Shipped,Medium,6.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Daedalus Designs Imports,10180.0,S10_1678,2003-11-11,29.0,86.13,2497.77,9.0,Shipped,Small,7.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Herkku Gifts,10188.0,S10_1678,2003-11-18,48.0,100.0,5512.32,1.0,Shipped,Medium,8.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10201.0,S10_1678,2003-12-01,22.0,98.57,2168.54,2.0,Shipped,Small,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto Canal Petit,10211.0,S10_1678,2004-01-15,41.0,100.0,4708.44,14.0,Shipped,Medium,10.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10223.0,S10_1678,2004-02-20,37.0,100.0,3965.66,1.0,Shipped,Medium,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Vitachrome Inc.,10237.0,S10_1678,2004-04-05,23.0,100.0,2333.12,7.0,Shipped,Small,12.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Tekni Collectables Inc.,10251.0,S10_1678,2004-05-18,28.0,100.0,3188.64,2.0,Shipped,Medium,13.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gift Depot Inc.,10263.0,S10_1678,2004-06-28,34.0,100.0,3676.76,2.0,Shipped,Medium,14.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
La Rochelle Gifts,10275.0,S10_1678,2004-07-23,45.0,92.83,4177.35,1.0,Shipped,Medium,15.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Marta's Replicas Co.,10285.0,S10_1678,2004-08-27,36.0,100.0,4099.68,6.0,Shipped,Medium,16.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Toys of Finland, Co.",10299.0,S10_1678,2004-09-30,23.0,100.0,2597.39,9.0,Shipped,Small,17.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10309.0,S10_1678,2004-10-15,41.0,100.0,4394.38,5.0,Shipped,Medium,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Diecast Classics Inc.,10318.0,S10_1678,2004-11-02,46.0,94.74,4358.04,1.0,Shipped,Medium,19.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10329.0,S10_1678,2004-11-15,42.0,100.0,4396.14,1.0,Shipped,Medium,1.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Salzburg Collectables,10341.0,S10_1678,2004-11-24,41.0,100.0,7737.93,9.0,Shipped,Large,20.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10361.0,S10_1678,2004-12-17,20.0,72.55,1451.0,13.0,Shipped,Small,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
La Rochelle Gifts,10375.0,S10_1678,2005-02-03,21.0,34.91,733.11,12.0,Shipped,Small,15.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
FunGiftIdeas.com,10388.0,S10_1678,2005-03-03,42.0,76.36,3207.12,4.0,Shipped,Medium,22.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"UK Collectables, Ltd.",10403.0,S10_1678,2005-04-08,24.0,100.0,2434.56,7.0,Shipped,Small,23.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10417.0,S10_1678,2005-05-13,66.0,100.0,7516.08,2.0,Disputed,Large,24.0,2.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10103.0,S10_1949,2003-01-29,26.0,100.0,5404.62,11.0,Shipped,Medium,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Volvo Model Replicas, Co",10112.0,S10_1949,2003-03-24,29.0,100.0,7209.11,1.0,Shipped,Large,25.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Corrida Auto Replicas, Ltd",10126.0,S10_1949,2003-05-28,38.0,100.0,7329.06,11.0,Shipped,Large,26.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Technics Stores Inc.,10140.0,S10_1949,2003-07-24,37.0,100.0,7374.1,11.0,Shipped,Large,6.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Dragon Souveniers, Ltd.",10150.0,S10_1949,2003-09-19,45.0,100.0,10993.5,8.0,Shipped,Large,27.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Classic Legends Inc.,10163.0,S10_1949,2003-10-20,21.0,100.0,4860.24,1.0,Shipped,Medium,28.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Gift Network, Co",10174.0,S10_1949,2003-11-06,34.0,100.0,8014.82,4.0,Shipped,Large,29.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10183.0,S10_1949,2003-11-13,23.0,100.0,5372.57,8.0,Shipped,Medium,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
